;profile;db;nldb;steplength;waitingtime
1;1;3.00E-04;0.0031;0.7241;84.1637
2;2;0.0241;0.3441;3.0209;13.2612
3;3;0.0081;0.0131;0.4656;8.2898
4;4;0;1.00E-04;0.4158;976.9361
5;5;2.00E-04;0.0129;2.1195;173.5868
6;6;0;0.0034;1.6603;406.4489
7;7;0.9671;1.5255;3.7583;4.6297
8;8;1.00E-04;0.0234;3.5282;265.7257
9;9;7.00E-04;0.0457;2.5701;72.2285
10;10;2.00E-04;0.0736;4.6644;147.7925
11;11;0.001;0.0307;1.5971;41.5387
12;12;0.0028;0.0077;0.524;17.9404
13;13;0.0063;0.1637;2.6662;21.7117
14;14;0;0.0011;1.2731;767.8844
15;15;0.0299;0.0295;0.0293;0.0146
16;16B;0.0196;0.075;1.3987;13.0384
17;17;3.00E-04;0.0096;1.4258;105.4022
18;18;0.0015;0.0025;0.2589;13.3213
19;19;2.00E-04;0.0062;1.3504;146.0743
20;20;0.0014;0.0392;4.5462;263.6255
21;21;0.0016;0.0033;0.861;110.9784
22;22;0;0.0082;3.1565;607.3061
23;23;0;0.0095;4.2265;943.9571
24;24;0.0046;0.0143;0.7083;17.5701
